Symbol,Name,Last Sale,Net Change,% Change, Market Cap ,Country,IPO Year,Volume,Sector,Industry,Margin of Safety,Business Predictability,Fair Value,Fair Value - Price,Baggers
FATH,Fathom Digital Manufacturing Corporation Class A Common Stock,4.65,0.24,0.05442," $31,780,253.00 ",,2021,69909,Technology,Computer peripheral equipment,97.38,0,$ 171.92,167.27,3597%
BON,Bon Natural Life Limited Ordinary Shares,0.4655,0.005,0.01086," $6,185,872.00 ",China,2021,32953,Health Care, Medicinal Chemicals and Botanical Products ,96.99,0,$ 15.63,15.1645,3258%
VCSA,Vacasa Inc. Class A Common Stock,9.45,-1.81,-0.16075," $210,314,900.00 ",United States,,272818,Technology,Computer Software: Prepackaged Software,96.49,0,$ 258.62,249.17,2637%
SCYX,SCYNEXIS Inc. Common Stock,1.62,-0.08,-0.04706," $60,276,634.00 ",United States,2014,164470,Health Care,Biotechnology: Pharmaceutical Preparations,96.19,1,$ 42.50,40.88,2523%
TXMD,TherapeuticsMD Inc. Common Stock,2.4,0.03,0.01266," $25,380,576.00 ",United States,,13183,Health Care,Biotechnology: Pharmaceutical Preparations,95.52,1,$ 55.86,53.46,2228%
PRE,Prenetics Global Limited Class A Ordinary Share,4.94,0.08,0.01646," $59,369,547.00 ",Hong Kong,,98586,Industrials,Biotechnology: Laboratory Analytical Instruments,95.76,0,$ 114.56,109.62,2219%
ASRT,Assertio Holdings Inc. Common Stock,0.8839,0.0367,0.04332," $83,677,507.00 ",United States,,597226,Health Care,Biotechnology: Pharmaceutical Preparations,95.37,1,$ 19.85,18.9661,2146%
TANH,Tantech Holdings Ltd. Common Shares,0.705,-0.007,-0.00983," $1,565,100.00 ",China,2015,89726,Industrials,Major Chemicals,95.39,1,$ 15.82,15.115,2144%
MEIP,MEI Pharma Inc. Common Stock,4.15,-0.05,-0.0119," $27,650,857.00 ",United States,2003,16640,Health Care,Biotechnology: Pharmaceutical Preparations,94.25,1,$ 73.88,69.73,1680%
CHR,Cheer Holding Inc. Ordinary Share,2.4,-0.01,-0.00415," $24,092,273.00 ",China,2018,2063,Technology,EDP Services,94.16,0,$ 40.39,37.99,1583%
NCPL,Netcapital Inc. Common Stock,0.145,0.01,0.07407," $1,371,574.00 ",United States,,772624,Finance,Investment Managers,93.8,0,$ 2.42,2.275,1569%
VOD,Vodafone Group Plc American Depositary Shares,8.94,0.27,0.03114," $24,208,076,101.00 ",United Kingdom,,11524732,Telecommunications,Telecommunications Equipment,93.57,1,$ 141.08,132.14,1478%
AMPY,Amplify Energy Corp. Common Stock,6.04,-0.04,-0.00658," $236,144,068.00 ",United States,2016,262273,Energy,Oil & Gas Production,93.36,1,$ 92.79,86.75,1436%
BAER,Bridger Aerospace Group Holdings Inc. Common Stock,5,0.05,0.0101," $223,884,630.00 ",United States,,21631,Finance,Blank Checks,93.29,0,$ 74.55,69.55,1391%
HYW,Hywin Holdings Ltd. American Depositary Shares,1.35,0.01,0.00746," $37,800,000.00 ",China,2021,9673,Finance,Investment Managers,93.25,0,$ 19.84,18.49,1370%
GSL,Global Ship Lease Inc New Class A Common Shares,20.35,0.12,0.00593," $732,396,500.00 ",United Kingdom,,563026,Consumer Discretionary,Marine Transportation,93.09,1,$ 298.09,277.74,1365%
TOPS,TOP Ships Inc. Common Stock,13.67,-0.06,-0.00437," $23,177,594.00 ",Greece,2004,7559,Consumer Discretionary,Marine Transportation,93.13,0,$ 198.89,185.22,1355%
BENF,Beneficient Class A Common Stock,0.1299,-0.0171,-0.11633," $4,339,866,998.37 ",United States,,2591446,Finance,Blank Checks,94.05,0,$ 1.85,1.7201,1324%
DQ,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares,21.28,0.42,0.02013," $1,664,195,271.00 ",China,2010,8750016,Technology,Semiconductors,92.4,1,$ 301.25,279.97,1316%
GTIM,Good Times Restaurants Inc. Common Stock,2.3,-0.07,-0.02954," $25,737,950.00 ",United States,,34714,Consumer Discretionary,Restaurants,92.37,1,$ 31.06,28.76,1250%
ESEA,Euroseas Ltd. Common Stock (Marshall Islands),38.9,3.22,0.09025," $272,689,000.00 ",Greece,,45702,Consumer Discretionary,Marine Transportation,92.34,1,$ 514.08,475.18,1222%
AMBC,Ambac Financial Group Inc. Common Stock,16.36,-0.58,-0.03424," $739,382,625.00 ",United States,,625225,Finance,Property-Casualty Insurers,92.03,1,$ 204.69,188.33,1151%
REI,Ring Energy Inc. Common Stock,1.43,0.03,0.02143," $279,751,330.00 ",United States,,1472446,Energy,Oil & Gas Production,91.32,1,$ 16.94,15.51,1085%
EGRX,Eagle Pharmaceuticals Inc. Common Stock,5.86,-0.41,-0.06539," $76,103,650.00 ",United States,2014,154847,Health Care,Biotechnology: Pharmaceutical Preparations,90.49,1,$ 68.13,62.27,1063%
CCLD,CareCloud Inc. Common Stock,1.37,-0.05,-0.03521," $21,746,174.00 ",United States,2014,28843,Technology,Computer Software: Prepackaged Software,91.55,1,$ 15.63,14.26,1041%
CNF,CNFinance Holdings Limited American Depositary Shares each representing  twenty (20) Ordinary Shares,2.301,0.061,0.02723," $157,807,555.00 ",,2018,5519,Finance,Finance: Consumer Services,90.57,0,$ 24.70,22.399,973%
STLA,Stellantis N.V. Common Shares,26.26,0.08,0.00306," $79,386,580,764.00 ",United Kingdom,2014,5197454,Consumer Discretionary,Auto Manufacturing,90.27,1,$ 272.14,245.88,936%
XYF,X Financial American Depositary Shares each representing six Class A Ordinary Shares,4.1,-0.0336,-0.00813," $196,744,355.00 ",Cayman Islands,2018,12048,Finance,Finance: Consumer Services,89.93,0,$ 42.19,38.09,929%
SBOW,SilverBow Resorces Inc. Common Stock,28.39,-0.06,-0.00211," $721,946,628.00 ",United States,,794239,Energy,Oil & Gas Production,89.41,1,$ 281.25,252.86,891%
QRTEA,Qurate Retail Inc. Series A Common Stock ,1.41,-0.07,-0.0473," $549,050,362.00 ",United States,,5421677,Consumer Discretionary,Catalog/Specialty Distribution,89.9,1,$ 13.96,12.55,890%
PARR,Par Pacific Holdings Inc.  Common Stock,36.12,-0.4,-0.01095," $2,185,248,369.00 ",United States,,2059085,Energy,Oil & Gas Production,89.87,1,$ 355.00,318.88,883%
GAU,Galiano Gold Inc.,0.9501,0.0101,0.01074," $213,730,809.00 ",Canada,,204136,,,88.47,1,$ 9.02,8.0699,849%
SSRM,SSR Mining Inc. Common Stock,4.3,0.01,0.00233," $870,593,897.00 ",Canada,,5484487,,,89.52,1,$ 40.63,36.33,845%
FIHL,Fidelis Insurance Holdings Limited Common Shares,14.96,0.21,0.01424," $1,764,004,720.00 ",Bermuda,2023,552180,,,87.83,0,$ 138.94,123.98,829%
UONEK,Urban One Inc. Class D Common Stock,2.91,0,0," $142,232,117.00 ",United States,,339611,Consumer Discretionary,Broadcasting,88.11,1,$ 25.74,22.83,785%
BURU,Nuburu Inc. Common Stock,0.1445,-0.0055,-0.03667," $5,331,230.00 ",United States,2020,210761,Technology,Industrial Machinery/Components,88.19,0,$ 1.27,1.1255,779%
AMCX,AMC Networks Inc. Class A Common Stock,12.94,0.12,0.00936," $563,686,353.00 ",United States,,614679,Telecommunications,Cable & Other Pay Television Services,88.2,1.5,$ 110.68,97.74,755%
YRD,Yiren Digital Ltd. American Depositary Shares each representing two ordinary shares,5.13,0.04,0.00786," $458,051,975.00 ",China,2015,46747,Finance,Finance: Consumer Services,87.23,0,$ 43.21,38.08,742%
BBAR,Banco BBVA Argentina S.A. ADS, $6.34 ,0.21,0.03426," $1,294,860,634.00 ",Argentina,,945210,Finance,Commercial Banks,88.09,5,$ 52.81,46.47,733%
SCX,L.S. Starrett Company (The) Common Stock,10.14,0.13,0.01299," $76,100,670.00 ",United States,,13686,Consumer Discretionary,Industrial Machinery/Components,88.11,1,$ 84.19,74.05,730%
TNK,Teekay Tankers Ltd.,54.82,-0.28,-0.00508," $1,852,286,337.00 ",Bermuda,2007,424379,Consumer Discretionary,Marine Transportation,87.96,1,$ 454.69,399.87,729%
MOB,Mobilicom Limited American Depositary Shares,1.4201,0.0001,0.00007," $6,844,882.00 ",Israel,2022,15609,Real Estate,Real Estate Investment Trusts,87.95,0,$ 11.70,10.2799,724%
LNG,Cheniere Energy Inc. Common Stock,155.2,2.31,0.01511," $36,424,240,925.00 ",United States,2001,3705526,Utilities,Oil/Gas Transmission,87.67,1,"$ 1,266.88",1111.68,716%
TRMD,TORM plc Class A Common Stock,33.81,-0.53,-0.01543," $2,821,444,500.00 ",United Kingdom,,438358,Consumer Discretionary,Marine Transportation,87.68,1,$ 274.59,240.78,712%
GAM,General American Investors Inc. Common Stock,44.75,0.125,0.0028," $1,072,908,548.00 ",United States,,14819,Finance,Investment Managers,87.2,0,$ 353.28,308.53,689%
STG,Sunlands Technology Group American Depositary Shares representing Class A ordinary shares,10,-0.1138,-0.01125," $138,528,800.00 ",,2018,3473,Real Estate,Other Consumer Services,86.53,0,$ 78.70,68.7,687%
JFIN,Jiayin Group Inc. American Depositary Shares,5.705,0.235,0.04296," $304,828,710.00 ",China,2019,41535,Finance,Finance: Consumer Services,86.61,0,$ 44.66,38.955,683%
CX,Cemex S.A.B. de C.V. Sponsored ADR,7.64,-0.04,-0.00521," $11,239,595,718.00 ",Mexico,,6639193,Industrials,Building Materials,86.84,1,$ 59.57,51.93,680%
UONE,Urban One Inc. Class A Common Stock,3.31,0.05,0.01534," $161,782,923.00 ",United States,,24451,Consumer Discretionary,Broadcasting,86.91,1,$ 25.74,22.43,678%
LX,LexinFintech Holdings Ltd. American Depositary Shares,1.84,0.01,0.00546," $299,417,476.00 ",China,2017,5168798,Finance,Finance: Consumer Services,86.58,0,$ 14.08,12.24,665%
ZYME,Zymeworks Inc. Common Stock,12.01,-0.05,-0.00415," $840,723,864.00 ",United States,,666673,Health Care,Biotechnology: Pharmaceutical Preparations,86.26,0,$ 91.06,79.05,658%
MXE,Mexico Equity and Income Fund Inc. (The) Common Stock,10.96,0.04,0.00366, $-   ,United States,,2380,Finance,Finance Companies,86.74,0,$ 82.81,71.85,656%
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock,16.52,-0.2,-0.01196," $107,745,102,424.00 ",Brazil,,26284576,Energy,Oil & Gas Production,86.61,1,$ 124.58,108.06,654%
MED,MEDIFAST INC Common Stock,40.09,-0.48,-0.01183," $436,804,404.00 ",United States,,397488,Consumer Staples,Packaged Foods,86.59,3.5,$ 301.56,261.47,652%
CXAI,CXApp Inc. Class A Common Stock,2.98,0.61,0.25738," $45,458,079.00 ",United States,2021,19857495,Technology,EDP Services,87.36,0,$ 22.31,19.33,649%
BNRE,Brookfield Reinsurance Ltd. Class A Exchangeable Limited Voting Shares,41.1,0.16,0.00391," $4,490,367,101.00 ",,2021,5760,Finance,Property-Casualty Insurers,86.43,0,$ 305.94,264.84,644%
BIDU,Baidu Inc. ADS,101.33,-1.98,-0.01917," $35,422,249,721.00 ",China,2005,7476447,Technology,Computer Software: Programming Data Processing,85.87,1,$ 737.32,635.99,628%
GASS,StealthGas Inc. Common Stock,6.17,-0.03,-0.00484," $237,483,300.00 ",Greece,2005,119664,Consumer Discretionary,Marine Transportation,85.95,1,$ 43.70,37.53,608%
GRVY,GRAVITY Co. Ltd. American Depository Shares,77.07,2.12,0.02829," $535,551,723.00 ",South Korea,2005,29435,Consumer Discretionary,Business Services,85.79,1,$ 544.67,467.6,607%
GGAL,Grupo Financiero Galicia S.A. American Depositary Shares, $22.01 ,0.27,0.01242," $3,245,797,290.00 ",Argentina,,1864268,Finance,Commercial Banks,85.56,5,$ 154.19,132.18,601%
VTLE,Vital Energy Inc. Common Stock par value $0.01 per share,50.33,0.87,0.01759," $4,162,289,540.00 ",United States,2011,787464,Energy,Oil & Gas Production,85.54,1,$ 351.41,301.08,598%
COMM,CommScope Holding Company Inc. Common Stock,1.165,-0.685,-0.37027," $247,048,119.00 ",United States,2013,12978886,Technology,Radio And Television Broadcasting And Communications Equipment,85.85,1,$ 8.13,6.965,598%
GPRK,Geopark Ltd Common Shares,8.6,0.17,0.02017," $499,660,000.00 ",Bermuda,2014,766426,Energy,Oil & Gas Production,85.28,1,$ 59.64,51.04,593%
IRS,IRSA Inversiones Y Representaciones S.A. Global Depositary Shares (Each representing ten shares of Common Stock),7.75,0.01,0.00129," $628,631,532.00 ",Argentina,,249720,Real Estate,Homebuilding,85.08,1,$ 52.28,44.53,575%
JXN,Jackson Financial Inc. Class A Common Stock ,55.05,-0.03,-0.00054," $4,376,478,578.00 ",United States,2021,734955,Finance,Life Insurance,84.66,0,$ 369.07,314.02,570%
AINC,Ashford Inc. (Holding Company) Common Stock,2.79,0.27,0.10714," $8,966,990.00 ",United States,2014,12272,Consumer Discretionary,Professional Services,86.01,1,$ 18.58,15.79,566%
SOGP,Sound Group Inc. American Depositary Shares,3.6,-0.01,-0.00277," $18,656,978.00 ",China,2020,69636,Technology,Computer Software: Programming Data Processing,84.9,0,$ 23.97,20.37,566%
GGB,Gerdau S.A. Common Stock,4.31,0.01,0.00233," $7,212,341,889.00 ",Brazil,,3996847,Industrials,Steel/Iron Ore,84.04,1,$ 28.13,23.82,553%
LPG,Dorian LPG Ltd. Common Stock,36.15,0.03,0.00083," $1,467,439,806.00 ",United States,2014,762514,Consumer Discretionary,Marine Transportation,84.54,0,$ 234.41,198.26,548%
EEX,Emerald Holding Inc. Common Stock,5.36,-1.13,-0.17411," $337,103,387.00 ",United States,2017,202747,Consumer Discretionary,Advertising,83.57,0,$ 34.75,29.39,548%
AONC,American Oncology Network Inc. Class A Common Stock,5.97,0.21,0.03646," $206,918,111.00 ",United States,2021,3196,Health Care,Medical/Nursing Services,84.8,0,$ 38.55,32.58,546%
DSX,Diana Shipping inc. common stock,3.05,-0.01,-0.00327," $475,363,881.00 ",Greece,2005,912852,Consumer Discretionary,Marine Transportation,84.19,1,$ 19.61,16.56,543%
CET,Central Securities Corporation Common Stock,38.83,0.11,0.00284," $9,397,838,516.00 ",United States,1951,21896,Finance,Finance/Investors Services,84.16,1,$ 247.81,208.98,538%
EQS,Equus Total Return Inc. Common Stock,1.4699,0.0099,0.00678," $19,870,323.00 ",United States,,4184,Finance,Finance Companies,84.06,1,$ 9.35,7.8801,536%
NOG,Northern Oil and Gas Inc. Common Stock,35.73,0.67,0.01911," $3,604,196,828.00 ",United States,2022,1685779,Energy,Oil & Gas Production,83.91,1,$ 226.56,190.83,534%
ECO,Okeanis Eco Tankers Corp. Common Stock,29.23,-0.92,-0.03051, $-   ,,,121994,,,83.94,0,$ 184.44,155.21,531%
INSW,International Seaways Inc. Common Stock ,52.93,0.67,0.01282," $2,588,753,846.00 ",United States,2016,795005,Consumer Discretionary,Marine Transportation,83.79,1,$ 333.13,280.2,529%
JAN,JanOne Inc. Common Stock (NV),1.09,0.05,0.04808," $5,403,835.00 ",United States,,231161,Utilities,Environmental Services,76.51,1,$ 6.77,5.68,521%
ALTM,Arcadium Lithium plc Ordinary Shares,5.49,0.34,0.06602," $5,897,420,866.00 ",United States,2024,16275533,,,83.73,0,$ 34.06,28.57,520%
HOV,Hovnanian Enterprises Inc. Class A Common Stock,156.66,12.86,0.08943," $954,940,613.00 ",United States,1983,74592,Consumer Discretionary,Homebuilding,82.9,1,$ 959.69,803.03,513%
OCUP,Ocuphire Pharma Inc. Common Stock,2.535,-0.055,-0.02124," $57,386,316.00 ",United States,,111277,Health Care,Biotechnology: Pharmaceutical Preparations,83.27,0,$ 15.12,12.585,496%
LYG,Lloyds Banking Group Plc American Depositary Shares,2.34,0.03,0.01299," $148,751,988,049.00 ",United Kingdom,,7136430,Finance,Commercial Banks,82.92,1,$ 13.76,11.42,488%
BRY,Berry Corporation (bry) Common Stock,7.05,-0.01,-0.00142," $533,450,771.00 ",United States,2018,2088097,Energy,Oil & Gas Production,82.52,0,$ 41.25,34.2,485%
SURG,SurgePays Inc. Common Stock,7.76,0.46,0.06301," $110,410,848.00 ",United States,,765428,Consumer Discretionary,Advertising,83.23,1,$ 45.31,37.55,484%
TITN,Titan Machinery Inc. Common Stock,25.23,-0.02,-0.00079," $576,490,034.00 ",United States,2007,148179,Consumer Discretionary,Other Specialty Stores,82.46,1,$ 146.88,121.65,482%
RNR,RenaissanceRe Holdings Ltd. Common Stock,224.82,-4.28,-0.01868," $11,846,758,380.00 ",Bermuda,,387862,Finance,Property-Casualty Insurers,82.9,1,"$ 1,306.25",1081.43,481%
BWFG,Bankwell Financial Group Inc. Common Stock,25.47,0.47,0.0188," $199,725,960.00 ",United States,2014,8479,Finance,Major Banks,82.66,3,$ 146.56,121.09,475%
MHUA,Meihua International Medical Technologies Co. Ltd. Ordinary Shares,0.7048,-0.0228,-0.03134," $16,872,912.00 ",China,2022,84462,Health Care,Medical Specialities,82.92,0,$ 4.04,3.3352,473%
BELFB,Bel Fuse Inc. Class B Common Stock,51.97,1.65,0.03279," $4,389,799,989.46 ",United States,,225667,,,81.83,1,$ 296.56,244.59,471%
SPHR,Sphere Entertainment Co. Class A Common Stock,43.3,2.51,0.06153," $1,521,512,681.00 ",United States,2020,1377739,Consumer Discretionary,Movies/Entertainment,82.01,0,$ 246.22,202.92,469%
RAYA,Erayak Power Solution Group Inc. Class A Ordinary Shares,0.7901,0.0101,0.01295," $9,836,745.00 ",China,2022,7576,Consumer Discretionary,Metal Fabrications,83,0,$ 4.47,3.6799,466%
MNSB,MainStreet Bancshares Inc. Common Stock, $18.02 ,0.075,0.00418," $135,604,219.00 ",United States,,12079,Finance,Major Banks,82.32,4,$ 101.25,83.235,462%
OI,O-I Glass Inc. Common Stock,16.92,0.4,0.02421," $2,600,094,099.00 ",United States,,1750052,Consumer Discretionary,Containers/Packaging,81.66,1,$ 93.85,76.93,455%
FCNCA,First Citizens BancShares Inc. Class A Common Stock,1573.81,7.52,0.0048," $22,858,984,333.00 ",United States,,132220,Finance,Major Banks,81.91,2,"$ 8,661.86",7088.05,450%
MCB,Metropolitan Bank Holding Corp. Common Stock,39.21,-1.61,-0.03944," $433,769,604.00 ",United States,2017,175526,Finance,Major Banks,82.3,0,$ 214.69,175.48,448%
AMRK,A-Mark Precious Metals Inc. Common Stock,25.69,0.2,0.00785," $587,133,133.00 ",United States,,625926,Industrials,Other Specialty Stores,81.36,1,$ 140.47,114.78,447%
ETV,Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest,12.96,0.05,0.00387," $1,416,117,803.00 ",United States,2005,152472,Finance,Investment Managers,81.41,0,$ 70.31,57.35,443%
DDI,DoubleDown Interactive Co. Ltd. American Depository Shares,12.83,0.23,0.01825," $635,770,635.00 ",South Korea,2021,4701,Technology,EDP Services,81.3,0,$ 69.16,56.33,439%
GES,Guess? Inc. Common Stock,25.38,0.37,0.01479," $1,362,913,462.00 ",United States,1996,598052,Consumer Discretionary,Apparel,81.21,1,$ 134.88,109.5,431%
TH,Target Hospitality Corp. Common Stock,9.68,0.08,0.00833," $984,082,458.00 ",United States,2018,352172,Consumer Discretionary,Hotels/Resorts,81.29,0,$ 51.25,41.57,429%
KIO,KKR Income Opportunities Fund Common Shares,13.39,0.13,0.0098, $-   ,,2013,187170,Finance,Investment Managers,80.83,0,$ 70.31,56.92,425%
IH,iHuman Inc. American depositary shares each representing five Class A ordinary shares,2.03,0.05,0.02525," $107,883,321.00 ",United States,2020,37465,Real Estate,Other Consumer Services,81.07,0,$ 10.62,8.59,423%
CACO,Caravelle International Group Ordinary Shares,0.5163,-0.1158,-0.1832," $27,247,515.00 ",Singapore,,61800,Consumer Discretionary,Marine Transportation,77.99,0,$ 2.68,2.1637,419%
BPT,BP Prudhoe Bay Royalty Trust Common Stock,2.18,-0.13,-0.05628," $46,652,000.00 ",United States,,184987,Energy,Integrated oil Companies,79.98,1,$ 11.29,9.11,418%
GPI,Group 1 Automotive Inc. Common Stock,270.65,8.95,0.0342," $3,704,076,385.00 ",United States,1997,121104,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,80.42,3.5,"$ 1,390.03",1119.38,414%
MVLA,Movella Holdings Inc. Common Stock,0.3616,-0.0384,-0.096," $18,408,127.00 ",United States,2021,946007,Technology,EDP Services,79.46,0,$ 1.85,1.4884,412%
MCFT,MasterCraft Boat Holdings Inc. Common Stock,21.93,0.2,0.0092," $373,551,344.00 ",United States,2015,119295,Industrials,Marine Transportation,80.33,1,$ 111.56,89.63,409%
VEON,VEON Ltd. ADS,26.05,0.1,0.00385," $1,830,513,832.00 ",Netherlands,,38705,Telecommunications,Telecommunications Equipment,80.37,1,$ 132.40,106.35,408%
CALM,Cal-Maine Foods Inc. Common Stock,57.49,0.09,0.00157," $2,816,010,421.00 ",United States,1996,420294,Consumer Staples,Farming/Seeds/Milling,80.82,1,$ 292.19,234.7,408%
RAND,Rand Capital Corporation Common Stock,13.8001,0.0201,0.00146," $35,618,348.00 ",United States,,466,Finance,Finance: Consumer Services,80.36,1,$ 70.00,56.1999,407%
VIRC,Virco Manufacturing Corporation Common Stock,10.54,0.48,0.04771," $172,300,690.00 ",United States,,142699,Consumer Discretionary,Industrial Specialties,79.83,1,$ 53.44,42.9,407%
BCBP,BCB Bancorp Inc. (NJ) Common Stock,10.49,0.1,0.00962," $176,735,583.00 ",United States,2005,30461,Finance,Savings Institutions,80.33,1,$ 53.13,42.64,406%
BZH,Beazer Homes USA Inc. Common Stock,31.33,1.06,0.03502," $988,302,062.00 ",United States,1994,348584,Consumer Discretionary,Homebuilding,79.84,1,$ 157.81,126.48,404%
KGEI,Kolibri Global Energy Inc. Common stock,3.35,0.21,0.06688," $119,345,716.00 ",United States,,16818,,,80.25,1,$ 16.81,13.46,402%
CHCI,Comstock Holding Companies Inc. Class A Common Stock,4.7987,0.0687,0.01452," $46,315,891.00 ",United States,2004,1098,Finance,Real Estate,80.55,1,$ 24.06,19.2613,401%
PHXM,PHAXIAM Therapeutics S.A.. American Depositary Shares,2.74,0,0," $16,645,788.00 ",France,2017,184,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),79.47,1,$ 13.69,10.95,400%
BELFA,Bel Fuse Inc. Class A Common Stock,59.5,0.71,0.01208," $4,414,766,485.01 ",United States,,1814,,,79.36,1,$ 296.56,237.06,398%
IGIC,International General Insurance Holdings Ltd. Ordinary Share,12.25,-0.66,-0.05112," $600,085,973.00 ",Jordan,2018,120057,Finance,Property-Casualty Insurers,80.37,0,$ 60.94,48.69,397%
NRT,North European Oil Royality Trust Common Stock,5.36,-0.14,-0.02545," $49,261,562.00 ",United States,,65642,Energy,Oil & Gas Production,79.05,1,$ 26.54,21.18,395%
CNHI,CNH Industrial N.V. Common Shares,11.95,0.04,0.00336," $15,899,279,928.00 ",United Kingdom,2013,21260624,Industrials,Construction/Ag Equipment/Trucks,79.49,1,$ 58.84,46.89,392%
AXS,Axis Capital Holdings Limited Common Stock,62.57,-0.07,-0.00112," $5,333,571,167.00 ",Bermuda,2003,838265,Finance,Property-Casualty Insurers,80.14,1,$ 307.50,244.93,391%
AGRO,Adecoagro S.A. Common Shares, $10.04 ,0.06,0.00601," $1,086,239,829.00 ",Luxembourg,2011,558996,Consumer Staples,Farming/Seeds/Milling,79.41,5,$ 49.21,39.17,390%
DAC,Danaos Corporation Common Stock,71.95,-0.27,-0.00374," $1,464,182,500.00 ",Greece,2006,97563,Consumer Discretionary,Marine Transportation,79.41,1,$ 351.95,280,389%
ABG,Asbury Automotive Group Inc Common Stock, $208.83 ,0.54,0.00259," $4,297,172,595.00 ",United States,2002,302736,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,79.43,5,"$ 1,019.69",810.86,388%
CNXC,Concentrix Corporation Common Stock,72.45,0.57,0.00793," $4,803,688,140.00 ",United States,,1278041,Technology,Computer Software: Prepackaged Software,79.26,0,$ 353.75,281.3,388%
DOOO,BRP Inc. (Recreational Products) Common Subordinate Voting Shares, $65.93 ,-0.44,-0.00663," $4,997,930,391.00 ",Canada,,103082,,,79.47,4,$ 321.39,255.46,387%
MHLD,Maiden Holdings Ltd.,1.35,0.14,0.1157," $136,267,974.00 ",Bermuda,2008,904426,Finance,Property-Casualty Insurers,77.66,1,$ 6.58,5.23,387%
OPBK,OP Bancorp Common Stock,10.36,0.16,0.01569," $155,391,743.00 ",United States,2018,14829,Finance,Major Banks,79.58,1,$ 50.00,39.64,383%
STNG,Scorpio Tankers Inc. Common Shares,67.13,0.33,0.00494," $3,714,417,021.00 ",Monaco,2010,999379,Consumer Discretionary,Marine Transportation,79.27,1,$ 323.66,256.53,382%
CUBA,Herzfeld Caribbean Basin Fund Inc. (The) Common Stock,2.61,-0.0101,-0.00385, $-   ,United States,,157919,Finance,Investment Managers,78.86,0,$ 12.58,9.97,382%
SPLP,Steel Partners Holdings LP LTD PARTNERSHIP UNIT,36.5,-0.99,-0.02641," $62,233.00 ",United States,,374,Industrials,Industrial Specialties,78.53,1,$ 174.69,138.19,379%
AN,AutoNation Inc. Common Stock,149.8,5.38,0.03725," $6,240,763,423.00 ",United States,,432547,Consumer Discretionary,Other Specialty Stores,78.93,3,$ 715.63,565.83,378%
VALE,VALE S.A.  American Depositary Shares Each Representing one common share,13.41,0.04,0.00299," $64,084,905,017.00 ",Brazil,,19581682,Basic Materials,Metal Mining,78.89,1,$ 63.91,50.5,377%
FSI,Flexible Solutions International Inc. Common Stock (CDA),2.03,0.01,0.00495," $25,244,130.00 ",Canada,2002,7039,Consumer Discretionary,Recreational Games/Products/Toys,79.34,2.5,$ 9.63,7.6,374%
TNP,Tsakos Energy Navigation Ltd Common Shares,23.77,-0.01,-0.00042," $701,452,700.00 ",Greece,2002,197008,Consumer Discretionary,Marine Transportation,78.6,1,$ 112.11,88.34,372%
