Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry,Margin of Safety,Business Predictability,Fair Value,Fair Value - Price,Baggers
VALE,VALE S.A.  American Depositary Shares Each Representing one common share,$9.40,0.16,1.732%,40138000000,Brazil,,36469005,Basic Materials,Metal Mining,83.98,1,$ 61.25,51.85,551.60%
REPX,Riley Exploration Permian Inc. Common Stock,$27.35,0.43,1.597%,588170994,United States,1999,141504,Energy,Oil & Gas Production,83.98,1,$ 177.19,149.84,547.86%
MFM,MFS Municipal Income Trust Common Stock,$5.47,0,0.00%,225296342,United States,1986,54144,Finance,Finance Companies,84.76,0,$ 35.31,29.84,545.52%
NVG,Nuveen AMT-Free Municipal Credit Income Fund ,$12.64,-0.04,-0.315%,0,United States,2002,618456,Finance,Investment Managers,84.7,1,$ 81.25,68.61,542.80%
YXT,YXT.COM GROUP HOLDING LIMITED American Depository Shares,$0.8701,-0.0222,-2.488%,155008436,China,2024,15720,Technology,Computer Software: Prepackaged Software,82.13,0,$ 5.54,4.6699,536.71%
SSTK,Shutterstock Inc. Common Stock,$20.23,-0.2,-0.979%,705898722,United States,2012,576734,Technology,EDP Services,84.78,4,$ 128.44,108.21,534.90%
AMCX,AMC Networks Inc. Class A Common Stock,$7.01,0.06,0.863%,309390514,United States,,845599,Telecommunications,Cable & Other Pay Television Services,83.86,1,$ 44.43,37.42,533.81%
GRVY,GRAVITY Co. Ltd. American Depository Shares,$54.20,-0.6,-1.095%,376630380,South Korea,2005,14920,Consumer Discretionary,Business Services,84.29,1,$ 342.84,288.64,532.55%
ULY,Urgent.ly Inc. Common Stock,$0.513,-0.011,-2.099%,6925334,United States,,173868,Technology,EDP Services,91.02,0,$ 3.23,2.717,529.63%
FFC,Flaherty & Crumrine Preferred and Income Securities Fund Incorporated,$15.81,-0.04,-0.252%,0,United States,2003,70603,Finance,Trusts Except Educational Religious and Charitable,83.98,0,$ 99.06,83.25,526.57%
BSTZ,BlackRock Science and Technology Term Trust Common Shares of Beneficial Interest,$18.22,0.11,0.607%,403715663,United States,2019,303028,Finance,Trusts Except Educational Religious and Charitable,83.55,0,$ 114.06,95.84,526.02%
HTCR,Heartcore Enterprises Inc. Common Stock,$0.90,-0.006,-0.662%,78507589,Japan,2022,70054,Technology,EDP Services,83.42,0,$ 5.61,4.71,523.33%
CIVI,Civitas Resources Inc. Common Stock,$33.00,0.95,2.964%,3069569580,United States,2017,4176293,Energy,Oil & Gas Production,82.92,0,$ 204.52,171.52,519.76%
HTD,John Hancock Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,$22.96,-0.07,-0.304%,0,United States,2004,43677,Finance,Finance Companies,83.87,0,$ 142.17,119.21,519.21%
FLC,Flaherty & Crumrine Total Return Fund Inc Common Stock,$16.75,0,0.00%,0,United States,2003,31589,Finance,Trusts Except Educational Religious and Charitable,83.82,0,$ 103.44,86.69,517.55%
SRV,NXG Cushing Midstream Energy Fund Common Shares of Beneficial Interest,$42.43,-0.17,-0.399%,0,United States,,51154,Finance,Finance Companies,83.36,0,$ 261.42,218.99,516.12%
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock,$20.22,-0.11,-0.541%,0,,2013,43544,Finance,Investment Managers,83.52,0,$ 124.06,103.84,513.55%
PFO,Flaherty & Crumrine Preferred and Income Opportunity Fund Incorporated,$9.19,0.015,0.163%,0,United States,1992,19579,Finance,Finance Companies,83.72,0,$ 56.25,47.06,512.08%
PFD,Flaherty & Crumrine Preferred and Income Fund Incorporated,$11.16,-0.014,-0.125%,0,United States,1991,56379,Finance,Investment Managers,83.47,0,$ 68.13,56.97,510.48%
AFB,AllianceBernstein National Municipal Income Fund Inc,$11.01,0.01,0.091%,0,United States,2002,75922,Finance,Trusts Except Educational Religious and Charitable,83.56,0,$ 66.56,55.55,504.54%
LPG,Dorian LPG Ltd. Common Stock,$20.35,0.04,0.197%,871071148,United States,2014,700548,Consumer Discretionary,Marine Transportation,81.97,4.5,$ 120.63,100.28,492.78%
FSTR,L.B. Foster Company Common Stock,$19.84,0.04,0.202%,213332239,United States,,74381,Industrials,Metal Fabrications,82.53,1,$ 116.25,96.41,485.94%
NML,Neuberger Berman Energy Infrastructure and Income Fund Inc. Common Stock,$8.52,0.03,0.353%,0,United States,2013,221846,Finance,Finance/Investors Services,82.1,1,$ 49.83,41.31,484.86%
SAG,SAG Holdings Limited Ordinary Shares,$0.699,-0.0136,-1.909%,6902625,Singapore,2024,409777,Consumer Discretionary,Motor Vehicles,83.99,0,$ 4.06,3.361,480.83%
CDTG,CDT Environmental Technology Investment Holdings Limited ordinary shares,$1.31,-0.03,-2.239%,14017000,China,2024,168723,Industrials,Miscellaneous,80.24,0,$ 7.39,6.08,464.12%
EIC,Eagle Point Income Company Inc. Common Stock,$15.57,-0.36,-2.26%,138699242,,2019,533761,Finance,Finance/Investors Services,82.53,0,$ 87.81,72.24,463.97%
FPH,Five Point Holdings LLC Class A Common Shares,$5.36,0.01,0.187%,797095709,United States,2017,211468,Finance,Real Estate,81.53,0,$ 30.00,24.64,459.70%
ATKR,Atkore Inc. Common Stock,$62.68,-2.87,-4.378%,2156111519,United States,2016,892656,Miscellaneous,Industrial Machinery/Components,81.59,1,$ 346.25,283.57,452.41%
HG,Hamilton Insurance Group Ltd. Class B Common Shares,$20.71,0.04,0.194%,1338285150,Bermuda,2023,645530,,,82.44,0,$ 113.75,93.04,449.25%
SNWV,SANUWAVE Health Inc. Common Stock,$27.425,-0.075,-0.273%,0,United States,,28596,,,80.85,1,$ 150.14,122.715,447.46%
MBIN,Merchants Bancorp Common Stock,$36.27,-0.35,-0.956%,1663012288,United States,2017,101147,Finance,Major Banks,80.78,0,$ 197.19,160.92,443.67%
EQC,Equity Commonwealth Common Shares of Beneficial Interest,$1.62,0.01,0.621%,174022425,United States,,384468,Real Estate,Real Estate Investment Trusts,81.64,1,$ 8.77,7.15,441.36%
WF,Woori Financial Group Inc. American Depositary Shares (each representing three (3) shares of Common Stock),$32.62,0.18,0.555%,8073858370,South Korea,,70706,Finance,Commercial Banks,81.1,0,$ 176.58,143.96,441.32%
MMT,MFS Multimarket Income Trust Common Stock,$4.6301,-0.0099,-0.213%,275714607,United States,1987,49109,Finance,Trusts Except Educational Religious and Charitable,81.52,0,$ 25.00,20.3699,439.95%
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,$15.77,-0.09,-0.567%,0,United States,1986,87791,Finance,Investment Managers,81.36,1,$ 84.38,68.61,435.07%
VFL,abrdn National Municipal Income Fund Common Stock,$10.41,-0.03,-0.287%,0,United States,1993,38755,Finance,Finance/Investors Services,81.54,1,$ 55.48,45.07,432.95%
NAD,Nuveen Quality Municipal Income Fund Common Stock,$11.78,-0.09,-0.758%,0,United States,1999,753845,Finance,Investment Managers,81.34,0,$ 62.50,50.72,430.56%
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.76,0.01,0.103%,0,United States,2002,27521,Finance,Finance/Investors Services,81.23,1,$ 51.25,41.49,425.10%
NEA,Nuveen AMT-Free Quality Municipal Income Fund Common Shares of Beneficial Interest Par Value $.01,$11.44,-0.04,-0.348%,0,United States,2002,607049,Finance,Finance/Investors Services,81.14,1,$ 59.69,48.25,421.77%
PAGS,PagSeguro Digital Ltd. Class A Common Shares,$7.31,0.06,0.828%,2309002434,Cayman Islands,2018,4932359,Technology,EDP Services,79.52,3,$ 38.13,30.82,421.61%
SCD,LMP Capital and Income Fund Inc. Common Stock,$15.76,-0.07,-0.442%,0,United States,2004,90858,Finance,Trusts Except Educational Religious and Charitable,80.62,0,$ 81.67,65.91,418.21%
DMF,BNY Mellon Municipal Income Inc. Common Stock,$7.42,-0.02,-0.269%,462198137,United States,1988,18267,Finance,Finance/Investors Services,80.83,1,$ 38.44,31.02,418.06%
MHO,M/I Homes Inc. Common Stock,$118.99,-1.42,-1.179%,3226348524,United States,1993,333949,Consumer Discretionary,Homebuilding,80.97,4.5,$ 615.94,496.95,417.64%
NECB,NorthEast Community Bancorp Inc. Common Stock,$21.63,-0.18,-0.825%,303265621,United States,2021,78113,Finance,Banks,79.58,3.5,$ 111.88,90.25,417.24%
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$10.47,0,0.00%,0,United States,2002,100853,Finance,Finance/Investors Services,80.74,1,$ 54.06,43.59,416.33%
IQ,iQIYI Inc. American Depositary Shares,$2.30,0.04,1.77%,2206730757,China,2018,34820917,Consumer Discretionary,Consumer Electronics/Video Chains,80.03,0,$ 11.77,9.47,411.74%
EOG,EOG Resources Inc. Common Stock,$124.49,-1.4,-1.112%,68958288822,United States,,4408904,Energy,Oil & Gas Production,80.55,1,$ 636.25,511.76,411.09%
IMXI,International Money Express Inc. Common Stock,$13.37,-0.28,-2.051%,409820569,United States,2017,499227,Consumer Discretionary,Business Services,80.37,0,$ 67.50,54.13,404.86%
VSCO,Victorias Secret & Co. Common Stock ,$16.25,-0.53,-3.159%,1277600838,United States,2021,9514859,Consumer Discretionary,Clothing/Shoe/Accessory Stores,77.32,0,$ 81.88,65.63,403.88%
ORIS,Oriental Rise Holdings Limited Ordinary Shares,$1.17,-0.08,-6.40%,25447500,China,2024,181475,Consumer Staples,Farming/Seeds/Milling,81.29,0,$ 5.88,4.71,402.56%
CPA,Copa Holdings S.A. Class A Common Stock,$94.49,2.05,2.218%,3972342025,Panama,2005,532035,Consumer Discretionary,Air Freight/Delivery Services,80.48,1,$ 474.06,379.57,401.70%
QSG,QuantaSing Group Limited American Depositary Shares,$2.59,-0.07,-2.632%,132382678,China,2023,180686,Real Estate,Other Consumer Services,78.65,0,$ 12.93,10.34,399.23%
MTDR,Matador Resources Company Common Stock,$47.00,1.98,4.398%,5884738964,United States,2012,2240834,Energy,Oil & Gas Production,79.2,1,$ 233.75,186.75,397.34%
YRD,Yiren Digital Ltd. American Depositary Shares each representing two ordinary shares,$6.72,0.21,3.226%,584200129,China,2015,105723,Finance,Finance: Consumer Services,77.99,1,$ 33.35,26.63,396.28%
FMY,First Trust Motgage Income Fund Common Shares of Beneficial Interest,$12.02,-0.04,-0.332%,0,United States,2005,2872,Finance,Finance/Investors Services,79.57,0,$ 59.38,47.36,394.01%
